title,company,location,meta,description,url
Data Engineer - SQL,"PRIMUS Global Services, Inc","Menlo Park, CA",,"We have an immediate opportunity for a Data Engineer at Menlo Park with one of our largest clients.

The potential candidate should have experience in advance SQL, Python, ETL, Data Modelling, Tableau or any BI tool. Should be well versed in creating data pipelines using Python. Should be very strong in writing advance SQL queries. Should be in BI Engineer. Nice to have Python experience.

For immediate consideration, please contact:
Manish Gupta
PRIMUS Global Services
(972) 753-6500 x411
Email: jobs@primusglobal.com",http://www.indeed.com/rc/clk?jk=1fa1e1321bdd7ea9&fccid=a1c580f8e420853d&vjs=3
"Data Engineer, Data Sciences",Johnson & Johnson Family of Companies,"Raritan, NJ",,"Janssen Pharmaceuticals, Inc., a member of Johnson & Johnson's Family of Companies, is recruiting for Data Engineer to support our Commercial Insights & Innovation team within Janssen Data Sciences and Data Management.
At the Janssen Pharmaceutical Companies of Johnson & Johnson, what matters most is helping people live full and healthy lives. We focus on treating, curing and preventing some of the most devastating and complex diseases of our time. And we pursue the most promising science, wherever it might be found.
The position will be responsible for but limited to:

Design, develop and implement the data infrastructure with scalable service to enable data science work and related research functionality.
Deliver flexible & scalable solutions to collect, Ingest and transform data into a data warehouse.
Provide leadership and guidance on design and management of data for data applications, formulate best practices and organize processes for data management, governance and evolution. Build processes and tools to maintain high data availability, quality and maintainability.
Drive the design, build and implementation of new data models in a production environment.
Lead the design and development of the data and service architecture including data lake, data warehouse, ETL processes, and APIs.
Define and implement processes required to achieve high system reliability.
Evaluate interfaces between various solutions, develop technical specifications and develop programs and resolve problems.
Engage with Data Platform customers/partners to understand their needs and provide suggestions/guidance on what data platform techniques are appropriate to solve their problems with pros/cons articulated clearly.
Perform database administration work including access control, sizing, performance optimization & monitoring.
Work cross-functionally with stakeholders to gather requirements.
Work with documentation professionals in developing user manuals.
Ability to understand requirements from business & technology teams and translate them into functional specifications.
Troubleshooting and resolve system issues and escalate to service providers as needed.


Qualifications

Bachelor's degree in Computer Science, Information Systems, etc.
A minimum of 7 years of experience in the implementation, design, and support in Data warehouses
A minimum of 5 years of administration/development experience with AWS Redshift
Experience in migrating database system from on-premises to AWS Cloud platform
Expertise in relational and columnar databases/Data warehouse including AWS Redshift, AWS RDS such as PostgreSQL, MS SQL Server, MySQL, Oracle.
Extensive hands on experience in data warehousing design, tuning and ETL/ELT process development.
Experience in ETL tools such as Talend Big Data Studio, MSBI SSIS package
Demonstrated experience in Cloud Computing, AWS services such as RedShift Cluster, AWS CLI, S3, EMR, RDS, DMS, EC2, Redshift Spectrum, AWS Glue, VPC, AWS SDK etc. and proven knowledge of AWS cloud architecture
Coding proficiency in scripting languages such as Python, PowerShell.
Ability to write complex SQL query using AWS Redshift SQL/ANSI-SQL /PostgreSQL/Amazon Aurora to meet business requirement
Good oral and written communication and ability to write organized technical documentation, i.e. system process flows, user operation manuals, etc.
Ability to automate end-to-end workflow for data pipeline .


Primary Location
United States-New Jersey-Titusville-
Other Locations
North America-United States-New Jersey-Raritan, North America-United States-Pennsylvania-Spring House
Organization
Johnson & Johnson Services Inc. (6090)
Job Function
R&D
Requisition ID
1968200320",http://www.indeed.com/rc/clk?jk=685edbcbc8f04f58&fccid=0bed8e17bc113980&vjs=3
Data Engineer,"ePromptus,Inc","Richmond, VA",,"Data Engineer
Location: Richmond, VA (remote until further notice)
Duration: 6 Months contract- likely to extend
Required Skills:
Making updates. Mostly maintenance and enhancement work on existing systemsLooking for production support and data engineersManaging all data pipelines. Mainly maintenance, some enhancements. Moving data through into data lake.Abinitio footprint. Trying to modernize. Rewrite abinitio jobs.Spark, Scala, AWS, Lambda",http://www.indeed.com/rc/clk?jk=63f2e99dcee2fc9d&fccid=0c8a6dcf2e060d2c&vjs=3
Big Data Engineer- Intuit Again Returnship,Intuit,"Mountain View, CA 94041",,"“Intuit Again” is a returnship program at Intuit for professionals returning to the workforce after taking time off from their careers for caregiving. During this returnship you’ll receive 16 weeks of paid employment doing work you love for one of the world’s most innovative companies. You’ll have the chance to update your skills, add new work experience to your resume, and make professional connections.

After completing the 16 weeks of the returnship program, there will be the potential opportunity for a full time offer. The program is open to anyone who has at least five (5) years of professional experience and have been out of the paid workforce for at least eighteen months (18) to focus on caregiving. If you meet these criteria and your skills match our needs, we welcome you to apply.

In this role, you can help engineer solutions that empower millions of businesses/customers worldwide. Your role is to work in small agile scrum teams to deliver awesome products that not only delight customers, but that are highly scalable and reliable. Using your detailed understanding of technologies and applying your intellectual curiosity you will help design, develop, and improve the features that help our customers run their businesses easily every day.",http://www.indeed.com/rc/clk?jk=a67385e0e33634fa&fccid=9784ae78e9834539&vjs=3
Data Engineer,Berkley,"Wilmington, DE 19809",,"Company Details:
Berkley Technology Services (BTS) is a dynamic company committed to providing world class IT services. We offer a unique culture, enabling our team members to be on the cutting edge of technology while delivering high quality solutions. Our functions include working with various third parties to develop, integrate, and support insurance systems of WRBC's operating units. BTS strives to provide these functions in a holistic manner including helpdesk support, system connectivity, and operational support. Additional responsibilities include coordinating communications regarding best practices in the use of our supported systems and researching new technology. BTS is constantly growing and expanding to meet the changing demands of one of the most successful insurance organizations in the world.
Responsibilities:
This position will be providing data development at a moderately complex level such as ETL, cube creation, adhoc and management reporting, dashboard and data extract creation. This individual will work within a team environment that provides data resource development and support for several companies. They will be responsible for analyzing, designing and coding solutions for rapidly growing companies supporting the insurance industry.
Qualifications:
Primary Duties & Responsibilities:
Demonstrates a robust understanding of all business data processes/processing for a system, and the related data structures.
Can produce significant new system functionality or defect resolution with minimal direction.
Creates design specifications that demonstrate an understanding of most interfacing systems and supported business processes.
Routinely proposes improvements to a data process and/or structure to improve supportability or usability.
Can perform adequate peer review on any changes in the system.
Can be consulted to provide recommendations to solve business issues based on experience and knowledge of current technology.
Demonstrates understanding of data processes and/or structures.
Will be required to communicate with employees primarily up to the mid-level within both company and client companies.
May begin to develop sphere of influence with other teams.
Will be required to communicate and coordinate within the team.
May be responsible for on-call rotation.
Some travel required up to 20%.
Minimum Qualifications:
5 – 10 yrs - reasonable single system / single technology knowledge.
5 + yrs SQL experience. (queries, stored procedures, functions)
Must have demonstrated the capability of meeting the key accountabilities, or have the ability to learn/perform them.
A self-motivated individual with a passion for success.
Needs to be able to determine how changes impact customer and other systems.
Excellent communication and organizational skills.
Ability to work in a fast-paced team environment.
Ability to quickly adapt and learn new technologies.
Ability to work independently.
Strong customer and business focus.
Bachelor’s degree from four year college or university with emphasis in related field.
Working Conditions and Physical Requirements:
Ability to sit at a desk and work on a computer for extended periods of time.
May occasionally lift and/or move up to 10 pounds.
Vision abilities required by this job include close vision and ability to adjust focus.",http://www.indeed.com/rc/clk?jk=a11394d042b3dc55&fccid=8e547279469474b7&vjs=3
Data Engineer,S3b Global Inc,"Richmond, VA",,"Required Skills: Spark, PySpark, Python
Responsibilities:
Data background currently working with spark, python and pySpark
Must have excellent communication skills",http://www.indeed.com/rc/clk?jk=cf5b6898f0cb9605&fccid=3c4a69a4f4120f01&vjs=3
Data Engineer,VoxTech,United States,,"Position Available
You should have superior SQL development experience along with the ability to interface with customers (though there will be no significant travel required). This position requires top technical skills, business communication skills, excellent attention to detail and follow-up, and the ability to self-manage. You will get exposure as you work directly with our customers to tackle tough business challenges.

We are looking for ‘full stack’ Data Engineers to work with our customers. You should be able to talk to a customer, work with raw data, design a schema, do data transformation, write automated tests, and manage deployment and operations. Your work will be 80% in code, primarily SQL. Some Python coding experience and experience building Docker containers is a plus. AWS and Amazon Redshift experience is a plus. You will work with a team of world-class data engineers on challenging data. We work weekly sprints and have the freedom to achieve and expect to own the results of your work.

Bachelor Degree in Computer Science or equivalent with 3+ years experience or Masters Degree in Computer Science or equivalent required.",http://www.indeed.com/rc/clk?jk=c7ecb78a833dbfbb&fccid=c24c6e12431afc23&vjs=3
ETL Data Engineer,"TalentMovers, Inc.","San Jose, CA",,"Position ETL Data Engineer
Location San Jose, CA
Duration 24 months
Job Description
Informatica ETL
Oracle SQL
Linux
Must be able to bring up new architecture/design for ETL processing
Minimum 8+ years' experience in Data/Warehousing
Python or Scala with good ETL/ELT skills.
Good exposure and knowledge on using HIVE and MPP databases (like REDSHIFT, Vertica etc..)
Candidate must be able to use Python/Scala with Spark and AWS for writing ETLs
Good exposure on writing ETL using Spark
Good SQL query writing skills
AWS Services like REDIS,EMR,EC2,Glue,s3,Cloudwatch etc
Thanks
Sid
703-349-5365
sid@talentmoversinc.com
for more positions please visit our website
www.talentmoversinc.com",http://www.indeed.com/rc/clk?jk=ae6285c34fa6c3bf&fccid=01267275e4614eb0&vjs=3
"Data Engineer, West Palm Beach",LOCKHEED MARTIN CORPORATION,"Jupiter, FL 33478",,"The flight test data engineer is responsible for all aspects of real time and post-flight processing of aircraft data, including on-board processing computer, cockpit display, and data servers.


Work hours are set by flight test schedule and can be somewhat variable from day to day.


Overtime work is often required.

Travel may be required to support offsite testing activities.
Basic Qualifications:
Bachelors degree from an accredited college in a related discipline, or equivalent experience/combined education, with 2 years of professional experience; or no experience required with a related Masters degree.

Basic understanding of data gathering processes.Must be proficient in the use of large data servers and computer peripherals for the purposes of data downloading, processing, managing, backup and recovery.Knowledge of instrumentation devices to develop, test, and troubleshoot data processing algorithms for aircraft data.Demonstrate strong analytical and troubleshooting skills;Demonstrate ability to work independently.Experience in computer programming and windows servers.Must be able to work effectively across several different disciplines in a collaborative environmentMust be able to communicate effectively (both orally and written)
Must be well-organized and able to handle multiple assignments
Desired Skills:
Experience in installation, testing, operating, troubleshooting, and maintenance of hardware and software systemsExperience in monitoring and maintaining computer system or network hardware or software applicationsExperience in data processing
BASIC QUALIFICATIONS:
job.Qualifications

Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They’re dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.

As a leading technology innovation company, Lockheed Martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.
EXPERIENCE LEVEL:
Experienced Professional",http://www.indeed.com/rc/clk?jk=5a53cce7e94c217a&fccid=aeb15e43a6800b9d&vjs=3
Data Engineer,McDonald's Corporation,"Chicago, IL 60607",,"Company Description

McDonald’s is proud to be one of the most recognized brands in the world, with restaurants in over 100 countries and billions of customers served each year. As the global leader in the food service industry, we have a legacy of innovation and hard work that continues to drive us. Today, we are growing with velocity and are focused on modernizing our experiences, not to make a different McDonald’s, but to build a better McDonald’s.
We are moving fast and are adding to our best-in-class team. Joining McDonald's means thinking big every day and preparing for a career that can have impact around the world. We are customer obsessed, committed to being leaders, and believe we are better when we work together. Over the last couple years, we’ve launched home delivery, modernized our restaurant experience through digital enhancements and have so much more to come.
We are dedicated to using our scale for good: good for people, our industry and the planet. From ambitious recycling initiatives and balanced sourcing efforts to our partnership with Ronald McDonald House Charities, we are constantly improving. We see every single day as a chance to have a genuine impact on our customers, our people and our partners.
Our new, state-of-the-art headquarters is located in the booming West Loop area in the heart of downtown Chicago. It's set up to be a global hub that cultivates innovation. Take a class at Hamburger University, sample future menu items in our Test Kitchen, and utilize the latest technology to communicate with your team around the globe! Our office helps us connect with each other like never before. Participate in monthly organized events, enjoy massive outdoor spaces, an 8000 square foot gym, and an onsite McDonald's serving international favorites. Needless to say, you’ll be lovin’ it here!

Job Description

McDonald's is looking to hire a Data Engineer. The role will work closely with data architects and includes designing, architecting, and building data pipeline to support business use cases. Responsibilities also include collaborating with business leaders to translate business requirements into technical, scale-able solution.

Qualifications
Bachelor’s or Master’s Degree in Computer Science, or Information technology preferred.Ability to present to senior leadership and partnersExperience managing applications in cloud based technologies and pipelining and familiarity with core servicesExperience in ETL and data warehouse technologies (Oracle, SQL Server, etc.)Skilled manipulating Big Data using HDFS/Hadoop eco system toolsFamiliarity with modern Machine Learning techniquesExperience and desire to work in a Global delivery environment is a plusStrong knowledge of relational and multi-dimensional database architectureStrong verbal and written communication skills, and ability to synthesize technical information for a business audience
Additional Information

McDonald’s is committed to providing qualified individuals with disabilities reasonable accommodations to perform the essential functions of their jobs. Additionally, if you (or another applicant of whom you are aware) require assistance accessing or reading this job posting or otherwise seek assistance in the application process, please contact recruiting.supportteam@us.mcd.com
McDonald’s provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to sex, sex stereotyping, pregnancy (including pregnancy, childbirth, and medical conditions related to pregnancy, childbirth, or breastfeeding), race, color, religion, ancestry or national origin, age, disability status, medical condition, marital status, sexual orientation, gender, gender identity, gender expression, transgender status, protected military or veteran status, citizenship status, genetic information, or any other characteristic protected by federal, state or local laws. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.
Nothing in this job posting or description should be construed as an offer or guarantee of employment.",http://www.indeed.com/rc/clk?jk=5c0d244253f821c2&fccid=f753bb1a40104d82&vjs=3
