title,company,location,meta,description,url
Data Scientist - Entry Level,Pathrise,Remote,,"What is Pathrise?
Pathrise (YC W18) is an online program for tech professionals that provides 1-on-1 mentorship, training and advice to help you land your next job. On top of that, we're built around aligned incentives. You only pay if you succeed in getting hired and start work at a high-paying job first.

Everyday we are expanding our team and our services. We are looking for sharp, scrappy and fun individuals who are ready to jump in (head first) into a new role with us. We are a small team and we love working together to improve our fellows chances of getting the job of their dreams! If this sounds like something you'd be interested in we want to talk to you.

Our Mission
We seek to uplift job seekers in their careers and help them fulfill their hopes, ambitions and livelihoods. Read more about why we’re driven to do this in our manifesto.

In this role, you will create a framework for how we utilize our own data. If you are someone comfortable with qualitative data and can see the amazing potential we have to be a forerunner in this new job seekers market then this could be the perfect role for you.

In order to be effective in this role, you must have a genuine interest in education and technology. Since you will be involved in all phases of coursework from research, development, design and feedback we are looking for someone who is not only passionate but also in love with our Mission of “uplifting undervalued students and tech professional in their early careers.” A large portion of this role will also be handling admissions, mentoring, instruction and other curriculum processes in a “teaching assistant” type position. It will be a combination of functional work and supporting the instruction staff.

This position is ideal for someone with a passion for data science and education, who is entrepreneurial and wants to join a fast-growing startup that's helping the next generation of data scientists! Depending on each candidate’s qualifications, this position could also be approached as a contract or contract-to-hire role as well.
Qualifications
0-3 years in data science
Excellent communication skills, ability to understand customer needs and provide valuable recommendations
Strong Python and SQL skills
Able to effectively synthesize, visualize, and communicate your ideas to others
Familiar with key data engineering concepts
Experience with data visualization
Benefits and perks
Great health, dental and vision benefits
Free daily catered lunches and snacks
Commuting costs covered
Flexible PTO
Ability to grow in your career and make a difference to individuals and society
What will I be doing?
Being involved with product discussions about high impact features to build for job seekers
Help with various data analysis projects and elements of the data curriculum
Review industry evaluations and handle admissions conversations with potential fellows
Contribute to curriculum and teaching sessions and workshops
Handle fellow queries for job search support and interview practice
We do not discriminate on the basis of race, religion, sex, gender identity, sexual orientation, age, disability, national origin, veteran status or any other basis covered by law. If you need assistance or an accommodation due to a disability, please let us know.

If you are also interested in the fellowship, please apply here: https://www.pathrise.com/apply.",http://www.indeed.com/rc/clk?jk=602196c5ea2f32da&fccid=ae6e171391e978d5&vjs=3
Data Scientist I,"Intrepid Solutions and Services, LLC",Remote,,"CLEARANCE: None
FUNCTIONAL LABOR CATEGORY: Data Scientist
CONTRACT LABOR CATEGORY: Data Scientist I
WORK LOCATION: Remote/Telecommute
TRAVEL: Position does not require travel.

ROLE AND RESPONSIBILITIES:

Project mission is to study second and third-order health, social, financial and medical effects of the COVID-19 Pandemic.
Seeking a Journeyman level Data Scientist with experience in support of an AI program that can fulfill the responsibilities outline below:
Has understanding and knowledge related to data science and AI to allow them to quickly learn products, technologies and work with the team.
Work as a part of a team to participate in a DEV/SEC/OPS-governed rapid application development project to design, development, testing, and implementation of an AI/ML platform.
Work within the Platform which will utilize a complex ML/DL/RNN and Reservoir Computing systems stack, NiFI ingest, process and distribute data, Neural Networks, and highly configurable UIUX tools.
Engineers and Data Scientist will work together to optimize platform configuration to collect, process and analyze massive amounts of different types of data, develop custom and ready-to-use visualization tools, and write new algorithms as required.

EXPERIENCE QUALIFICATIONS AND EDUCATION:
Bachelors' degree, and eight (8) years of experience.
Masters' degree, and four (4) years of experience.

Intrepid Solutions and Services provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, national origin, religion, age, sex, sexual orientation, gender identity or expression, disability status, protected veteran status, or any other characteristics protected by federal, state or local laws. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.
If you require reasonable accommodation in completing this application, interviewing, completing an pre-employment testing, or otherwise participating in the employee selection process, please direct your inquiries to Intrepid Staffing, 703-992-0386, or Recruiting@Intrepidsolutions.com.

pT4eeGk0lU",http://www.indeed.com/rc/clk?jk=3906747a8097e30c&fccid=1fa24ebcd427ee07&vjs=3
DATA SCIENTIST I,BBVA,"Houston, TX",,"Company: Compass Bank dba BBVA Compass
Location: Houston, Texas. United States
Job type: Employment | Business Development Usa
Published on: 9th April 2020
Our Company
At BBVA, we are leading the transformation of global banking with the aim of bringing the opportunities of this new era within everyone’s reach. We are a global financial institution present in 30 countries with over 75 million customers. We are a bank with over 126,000 employees across the world and every one of those employees is leading and designing his/her professional career with the help of tools provided by the organisation to make that happen.
Corporate responsibility is an intrinsic part of our business model, promoting inclusion and financial education while supporting research and culture. Being part of BBVA means developing your career in one of the most innovative companies in finance.
We started out with the spirit of helping others make the best financial decisions. That spirit remains with us today and encourages us to keep moving forward, prioritising innovation and digital transformation so that we can bring the opportunities of this new era within everyone’s reach.
Our values define our identity; they are what drives us to make our goals a reality and they guide all of our actions and the decisions we make.
The customer comes first.We think big.We are one team.
Job description

Perform data analytics in support of various business strategies.

Responsibilities

Develop predictive analytic models and participate in their implementation into business strategies.
Develop, analyze, and model operational, economic, management, accounting, or other organizational data to quantify and predict the competitive performance of our Lines of Businesses.
Support the development of processes and tools to monitor and analyze model performance and data accuracy.
Engage and collaborate with others to understand data structures and opportunities.
Contribute to the Advanced Analytics Community of Practice through documenting models and processes and sharing knowledge and research on trends and best practices within analytics and their applications in the Bank.

Education/Experience

A Bachelor''s Degree (BA, BS, etc.) in MIS, Statistics, Mathematics, Business Analytics, Computer Science or Engineering or an equivalent combination of education and professional experience is required with one (1) year of related experience in data-mining, -analysis or -modeling, demonstrated through capstone project, internship or professional experience. Experience with business case evaluation and corresponding data identification, extraction, validation & cleansing, analysis & modeling and visualization utilizing Big Data Platforms. Advanced quantitative and analytical skills. Excellent communication skills. Must be able to communicate effectively with technical and non-technical employees.

Lic/Cert/Reg
None required; none preferred.



At BBVA, we believe that having a team made up of people with different ways of viewing the world and of taking on each challenge makes us a better bank. That is why we actively support diversity and inclusion, and we invite you to apply, regardless of your race, gender, age, sexual orientation, country of origin, experience, studies, etc.

We nurture a collaborative and inclusive work environment that enables us to show and develop the best we each have to offer.
Pay Transparency Policy Statement
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information (41 C.F.R. 60-1.35 (c)).
Individuals with Disabilities
BBVA Compass, BBVA Securities Inc., and BBVA S.A. New York Branch invite all interested and qualified applicants to apply for employment opportunities. If you are a U.S.-based job seeker with a disability who is unable to use our online tools to search and apply for jobs, please contact us by emailing: disabilityaccessjobs.us@bbva.com or by calling toll-free (in the U.S.) 1-844-664-9275. Please indicate the specific type of assistance needed*.

The disability access telephone line and email address are reserved solely for job seekers with disabilities requesting accessibility assistance or an accommodation. Please do not call about the status of your job application if you do not require accessibility assistance or an accommodation. Messages left for other purposes, such as following up on an application or non-disability related or technical issues, will not receive a response.
EEO Statement
BBVA Compass, BBVA Securities Inc., and BBVA S.A. New York Branch have a firm and unwavering policy to provide equal employment opportunity without regard to age, citizenship, color, disability, ethnic origin, gender, gender identity and expression, marital status, nationality, national origin, race, religion, sexual orientation, genetic predisposition, protected veteran status, or any other status or classification protected by federal, state or local law. This policy includes all job groups, classifications and organizational units. With regard to employment, this policy extends to applicants and covers our recruiting, hiring, promotion, transfer, demotion, discipline, termination, benefits, compensation and training practices as well as social and recreational activities. View the ""EEO is the Law"" & ""View the EEO is the Law Supplement Poster"" poster. BBVA Compass, BBVA Securities, Inc., and BBVA NY are equal opportunity and affirmative action employer.",http://www.indeed.com/rc/clk?jk=4759d0bdb6601431&fccid=c938a854fbd13908&vjs=3
Data Scientist,Proofpoint,"Sunnyvale, CA 94085",,"It's fun to work in a company where people truly BELIEVE in what they're doing!

We're committed to bringing passion and customer focus to the business.

The Role
Would you like to apply cutting edge data science techniques to help protect the world against cyber threats? You get to work with unique data sets and craft peta byte scale solutions to help protect some of the most targeted people especially in fortune 500 companies. One of the things that makes the problem space so challenging is that dynamic nature of the threat landscape. We need to outsmart the threat actors and be two steps ahead of the game. This is where static rule based systems can’t keep up with the sheer number of threat features we deal with and we need smarter machine learning solutions to help tackle the problem. You will be part of design and development of new game changing solutions that have a real impact on the next generation security solutions at Proofpoint.
Your day-to-day
Ability to mentor and up level junior data scientists
Experience with crafting deep learning solutions
Solid Understanding of programming fundamentals
What you bring to the team
5+ yrs working as a data scientist with large scale systems.
Good understanding of machine learning algorithms, tools and platforms
Experience in at least one of these Toolkits - numpy , scipy , scikit -learn, tensorflow , pytorch , keras , genism, vowpal wabbit, etc.
Good Python proficiency
Self-starter and intellectual curiosity
Great communication skills and ability to simplify data science concepts to stakeholders
Proficiency in data exploration techniques and tools
#LI-JL3
If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!",http://www.indeed.com/rc/clk?jk=44d81949affdc9ec&fccid=69c7d55b78dc7424&vjs=3
Data Scientist,Degreed,Remote,,"Degreed is the upskilling platform that connects learning to opportunities. We integrate everything people use to learn and build their careers—skill insights, LMSs, courses, videos, articles, and projects—and match everyone to growth opportunities that fit their unique skills, roles, and goals.

The Data Science team at Degreed works with large structured and unstructured datasets to understand how people develop the skills that they need to advance their careers. To do this, we use a diverse set of tools and approaches, including feature engineering, clustering, classification and recommendation models, word embeddings, and neural networks. Degreed is looking for a capable, qualified and versatile Data Scientist to help with the development and delivery of high-quality, data-driven, machine learning and predictive modeling solutions.
RESPONSIBILITIES
Work as part of a product team to derive data science products that help improve the experience on the platform
Develop full data science pipelines from early proof-of concept models through full-scale training and working with engineers to deploy models to production
Engineer features, build and optimize recommenders, classification models, and semantic graph, and evaluate the feasibility and performance of these models
Assist with text/data classification and categorization
Communicate about data science with a diverse set of stakeholders and development partners
REQUIREMENTS
Hands on (not just academic) experience in applying advanced analytics to solve complex business problems
Proficiency in Python and SQL
Experience with unsupervised and supervised machine learning techniques and methods
Comfortable blending together diverse data sources to create training data for specific problems
Experience processing large-scale data sets
A strong passion for empirical research and for answering hard questions with data.
Excellent written and verbal communication skills. We’re a distributed team and rely on good communication to perform at a high level
Experience working remotely - It takes a self-motivated individual to thrive on a distributed team
You are a lifelong learner and passionate about learning new things and taking on new challenges
PREFERRED SKILLS
Professional experience using unsupervised learning techniques - clustering, word embeddings, dimensionality reduction, etc
Experience in Natural Language Processing (NLP)
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

See Degreed Jobs for more details on Degreed and why you should come work with us!",http://www.indeed.com/rc/clk?jk=c73a76937d8a17ec&fccid=d226dfd6fbcae3b9&vjs=3
Data Scientist,NextEra Energy,"Juno Beach, FL 33408",,"Requisition ID: 41424

Our reliability is one of the best in the nation, and we’re working to make it even better. We live here too. That’s why we’re committed to making Florida a better place. Join our team today Learn more

Position Specific Description
Skills/Attributes Required:Experience working with relational SQL Database Technologies (MSSQL Server, PostgreSQL)Experience Python and/or R Programming Language for data scienceExperience in statistical thinking and applying software to solve statistical problemsExperience in machine learning techniques (regression, classification, time-series forecasting, unsupervised learning)Programming skills sufficient to collect, clean, transform, and merge disparate data sources as neededAbility to develop processes and/or tools to monitor model performance and accuracyAbility to research and implement state-of-the-art algorithms found in scientific publicationsExcellent interpersonal, writing and presentation skillsAbility to work independently with minimal guidanceAbility to multitask and ensure deliverables are completed timely; ability to meet inflexible deadlinesData Science and Programming experienceBachelor’s Degree in Engineering, Applied Math, Physics, Statistics, or Computer Science

Desired Skills & Experience:Electric Utility knowledge including understanding of Power Generation technologiesKnowledge about insurance industry modeling a plusExperience applying probabilistic programming and computational simulations for advanced statistical inference (Pyro, Stan, PyMC3)Experience working with state-of-the-art methods in explainable AI and building interpretable machine learning modelsAdvanced Degree in Engineering, Applied Math, Physics, Statistics, or Computer ScienceHistory of contributing to open-source data science and machine learning software projectsExperience leveraging commercial cloud services for data science and machine learning workflows
Job Overview
This position is responsible for developing algorithms, modeling techniques, and optimization methods that support many aspects of NextEra and FPL business. Employees in this role use knowledge of machine learning, optimization, statistics, and applied mathematics along with abilities in software engineering with a focus on distributed computing and data storage infrastructure (e.g. “Big Data”).
Job Duties & Responsibilities
Develops machine learning, optimization and other modeling solutions
Prepares comprehensive documented observations, analyses and interpretations of results including technical reports, summaries, protocols and quantitative analyses
Works with a variety of datasets, including timeseries data and “big data” requiring analysis on distributed computing platforms
Writes software in R, Python or similar languages and contributes code to product development teams
Performs other job-related duties as assigned
Required Qualifications
Bachelor’s Degree
Experience: 3+ years
Preferred Qualifications
Master’s Degree
Doctoral Degree

Employee Group: Exempt
Employee Type: Full Time
Job Category: Science, Research, and Technology
Organization: Florida Power & Light Company
Location: Juno Beach, Florida
Other Work Locations: Florida
Relocation Provided: Yes, if applicable

NextEra Energy is an Equal Opportunity Employer. Qualified applicants are considered for employment without regard to race, color, age, national origin, religion, marital status, sex, sexual orientation, gender identity, gender expression, genetics, disability, protected veteran status or any other basis prohibited by law. We are committed to a diverse and inclusive workplace.

If you require special support or accommodation while seeking employment with NextEra Energy, please send an e-mail to recruiting-coordinator.sharedmailbox@nexteraenergy.com, providing your name, telephone number and the best time for us to reach you. Alternatively, you may call 1-844-694-4748. Please do not use this line to inquire about your application status.

NextEra Energy will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information.

NextEra Energy does not accept any unsolicited resumes or referrals from any third-party recruiting firms or agencies. Please see our policy for more information.
#LI-AP1",http://www.indeed.com/rc/clk?jk=08078707758b21c2&fccid=ee1723cae957f03e&vjs=3
Data Scientist Assc,American Electric Power,"Columbus, OH 43215",,"Position Summary:

The Data Scientist will be responsible for researching, analyzing and helping to form strategy surrounding AEP Energy’s business activities. This position will play a key role in empowering business groups – helping them formulate strategies and improve business processes by measuring and optimizing their impact – ultimately improving how AEP Energy engages with and delivers value to our customers.

Key Duties & Responsibilities:

Develop and maintain dashboard reporting of KPIs for new sales, renewal and retention
Develop and maintain dashboard reporting of KPIs for survey feedback (both structured and unstructured data)
Develop and maintain databases
Develop, maintain, and improve targeting to meet and exceed projected Marketing and Sales targets
Conduct detailed competitive reporting and analysis of Residential offers in market
Conduct financial analyses related to customer lifetime value and actual margin performance
Provide pricing and strategy recommendations for new sales, renewal and retention
Formulate and test hypotheses to evaluate business strategies and measure impact
Investigate 3rd party data sets that complement our internally sourced data
Author reports and presentations to communicate your process and results
Provide recommendations for system and process improvements / enhancements
Assist with other projects as assigned

Knowledge & Skill Requirements:
Entry level, no work experience required but is preferred
Experience with Microsoft Power BI or similar data visualization tool
Knowledge of one or more SQL languages (e.g. MySQL, Oracle)
Advanced proficiency in MS Excel (Formulas, Pivot Tables), Word, PowerPoint
Ability to learn and utilize new analytical software to perform day to day duties.
Experience with one or more data mining tools (RapidMiner, Alteryx, etc.) is a plus.
Experience with Python is a plus.
Experience with one or more statistical analysis packages: SPSS, R, SPSS is a plus.
Good knowledge of mathematical and statistical principles and formulas.

Attributes:

Highly-organized, with exceptional attention to detail.
Strong communication skills with the ability to listen and express ideas and thoughts effectively both verbally and in writing.
Strong people skills with an acute ability to build relationships and alliances with internal and external contacts including peers, superiors, and external contacts.
Upbeat/positive attitude focused with a “get it done” mentality.
Ability to manage multiple priorities and projects simultaneously and produce high quality work under the pressure of deadlines.
Accountable for actions and ownership of results.
Proactive problem-solving ability with a positive attitude rooted in a results/solutions orientation.
Effective and comfortable in a dynamic/in-flight/fast-paced work environment
Ability to handle multiple and competing demands.
Strong critical thinking skills- conceptual and analytical.
Acts with a sense of urgency.

Job Type
Full-Time
Relocation
No
Minimum Requirements
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.Experience: Entry level ? no experience required",http://www.indeed.com/rc/clk?jk=ee058ebe3e6cadb3&fccid=5c6de67c27319810&vjs=3
Data Scientist - People Analytics,Unum,Remote,,"Job Posting End Date: 04/16
Unum is a company of people serving people. As one of the world's leading employee benefits providers and a Fortune 500 company, Unum's financial protection benefits help protect more than 36 million working people and their families from the financial impact of illness or injury. Unum's three distinct, but similarly focused US businesses – Unum US, Colonial Life, and Starmount Life – are each a market leader in making disability, life, accident, critical illness, dental, and vision insurance accessible in the workplace.
Headquartered in Chattanooga, Tennessee, Unum has significant US operations in Portland, Maine, Worcester, Massachusetts, and Glendale, California with over 35 field offices nationwide. Colonial Life is headquartered in Columbia, South Carolina with over 40 field offices nationwide. Starmount Life is based in Baton Rouge, Louisiana, and is the dental and vision center of excellence for Unum in the US.
General Summary:
This position requires significant technical expertise including statistical proficiency, advanced data manipulation skills and relies on increasing business knowledge. The scope of this position dictates continuously increasing business knowledge with a consultant mindset approach and focus on identifying opportunities to improve our business outcomes by building and implementing predictive models by correlating employee data. While some review and coaching by a manager is expected, this individual will take initiative in identifying and executing approaches for analysis to support business issues. The individual in this position will participate in cross-functional initiatives to gain increasing business exposure and knowledge.
Principal Duties and Responsibilities
Design and execute analytical solutions using optimization, simulation, data mining and other statistical methods with a focus on delivering actionable business value
Integrate large volume of data from different sources (including DB2, SQL Server, Web API and Teradata) to create data assets for ad-hoc analyses and larger studies
Apply validation, aggregation, and reconciliation techniques to create rich modeling-ready data framework
Construct and tune predictive models to explain and understand observed events, forecast expected behavior, or identify risk through scoring or clustering
Efficiently interpret results and communicate findings and potential value to influence manager and leadership decision making
Support integration of solutions within existing business processes using automation techniques
Understand theory and application of current and emerging statistical methods and tools
Provides support, training and/or mentorship to lower level Data Science peers
Perform other related duties as assigned
Job Specifications
Bachelors degree required (Mathematics, Statistics, Operations Research, I/O Psychology, Finance, or equivalent)
Hands on experience with current technology (Workday, Qualtrics, R, Tableau)
4 years of professional experience or equivalent relevant work experience preferred
Core Data Science Capabilities: Deep expertise in at least two of the following skillsets preferred; and competency in the other:
Programming & Process automation: Experience with file I/O, database integrations, and APIs to build automated analytics pipelines; Understanding of process research and design, which may be demonstrated through use of DevOps, automation, data mining, web scraping, or object-oriented software is preferred
Data Visualization: Expertise on at least one visualization tool with working knowledge of others and expertise in static data visualization; Understanding of dynamic data visualization;
Statistics & Statistical modeling: Expertise using statistical inference and regression; Solid understanding of machine learning algorithms; Solid understanding of feature selection and extraction; Conducts end-to-end machine learning tasks from problem synthesis to model deployment
Data Extraction, Transformation, and Loading: Preferred skills include: Expertise in writing complex SQL queries that join multiple tables/databases; Independently explore databases/tables to identify best data sources to solve business problems; Demonstrates ability to troubleshoot complex SQL queries with little guidance; Demonstrates ability to create logical data models by combining data from multiple sources including internal and external data
Core business capabilities : Demonstrated communication skills, experience in financial services, leadership experience working with senior management and executive leadership, and attention to detail while effectively and independently prioritizing work and managing multiple projects simultaneously
Leadership Capabilities : Demonstrated ability to coach or mentor team members, ability to commit quickly and positively to change; Viewed as a promoter of change management and leads proof of concept work and prototyping when necessary
Preferred characteristics: Entrepreneurial self-starter, a thorough, results-oriented problem-solver, and a lifelong learner with voracious curiosity AND intermediate understanding of their organization
~IN1
Unum and its family of businesses offer world-class training and development, generous compensation and benefits packages, and a culture built on employee ideas.
Unum is an equal opportunity employer, considering all qualified applicants and employees for hiring, placement, and advancement, without regard to a person's race, color, religion, national origin, age, genetic information, military status, gender, sexual orientation, gender identity or expression, disability, or protected veteran status.
Company:
Unum",http://www.indeed.com/rc/clk?jk=b6dd5af812c6e1d8&fccid=645cc4ef8d29b478&vjs=3
"Full Time Opportunities for Students or Recent Graduates: Data & Applied Sciences- Atlanta, GA",Microsoft,"Atlanta, GA",,"Data Scientists at Microsoft help to improve the quality of experiences on our devices and services. We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft’s devices, operating systems, and services. As a Data Scientist, you will provide unique insight into business and customer scenarios that cut across organizational boundaries and lead the growth of a data-driven culture within Microsoft.

Do you want to work on a meaningful and impactful project and make a difference?
Are you willing to learn from others and open to new ideas?
Do you want to support others to succeed and operate in a highly-collaborative and global environment?
If this sounds like you, Microsoft would like to invite you to come join us as you are, where you can find more than just a job.
Read on to learn more about opportunities and apply online!
Responsibilities
As a Data Scientist, you will formulate approaches to solve problems using well-defined algorithms and data sources. You will incorporate an understanding of product functionality and customer perspective to provide context for those problems. You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the data. Successful Data Scientists will interpret the results of their analysis, validate their approach, and learn to monitor, analyze, and iterate to continuously improve.

You will engage with peer stakeholders to produce clear, compelling, actionable insights that influence product and service improvements that will impact millions of customers. As a Data Scientist, you will also engage in the peer review process and act on feedback while learning innovative methods, algorithms, and tools to increase the impact and applicability of your results.
Qualifications
Currently has or is in the process of obtaining their BA/BS, Masters or PhD in Computer Science, Mathematics, Economics, Statistics, Applied Sciences like Biostatistics, Physics, Chemistry, Computational Neurology
Some Engineering experience and or project course work using large data systems on SQL, Hadoop, etc.
Proficiency using one or more programming or scripting language to work with data such as: Python, Perl, or C#.
Some experience and or project course work performing data analysis and applying statistics working with tools such as: Excel, R, MATLAB, AMPL, or SAS.
Some experience and or project course work with product and service telemetry systems.
Some A/B Testing or experimentation (this can be from conducting real life science experiments, hypothesis testing in stats etc.) Not required but ideal.
Some experience or course work applying basic ML to a type of data and or used algorithms to conduct experiments on data. Machine Learning strongly encouraged.
Passion to learn from your peers, manager, and other stakeholders in the Data Science domain.
Ability to interact with peers and stakeholders to drive product and business impact.
Strong interpersonal and communications skills.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",http://www.indeed.com/rc/clk?jk=4d20532bfd885f57&fccid=734cb5a01ee60f80&vjs=3
Staff Data Scientist,Intuit,"San Diego, CA 92112",,Intuit is hiring a Staff Data scientist to focus on our Consumer Tax Group. We are looking for exceptional talent that can improve the bottom lines of our TurboTax offerings.,http://www.indeed.com/rc/clk?jk=4880556885b72448&fccid=9784ae78e9834539&vjs=3
